strikePrice,expiryDate,underlying,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,underlyingValue,instrumentType,timestamp
1400,25-Nov-2025,INFY,2142,503,30.689444783404515,1927,0.0,6.75,-1.5999999999999996,-19.16167664670658,286800,114000,1200,6.8,2800,6.85,1504.9,PE,27-Oct-2025 15:30:00
1400,30-Dec-2025,INFY,181,41,29.285714285714285,58,23.67,14.15,-1.950000000000001,-12.11180124223603,27200,18800,800,14.1,400,14.7,1504.9,PE,27-Oct-2025 15:30:00
1420,28-Oct-2025,INFY,1129,-83,-6.848184818481848,138,64.04,86.1,4.549999999999997,5.579399141630899,38400,43600,400,83.85,400,87.3,1504.9,CE,27-Oct-2025 15:30:00
1420,28-Oct-2025,INFY,2711,-1061,-28.12831389183457,2463,0.0,0.15,-0.5,-76.92307692307692,158400,80400,1600,0.15,2400,0.2,1504.9,PE,27-Oct-2025 15:30:00
1420,25-Nov-2025,INFY,1117,206,22.61251372118551,847,0.0,9.7,-1.75,-15.283842794759828,133200,72800,800,9.55,1200,9.7,1504.9,PE,27-Oct-2025 15:30:00
1420,25-Nov-2025,INFY,159,13,8.904109589041095,51,0.0,95.1,6.799999999999997,7.701019252548129,44400,44800,400,93.3,400,97.3,1504.9,CE,27-Oct-2025 15:30:00
1440,28-Oct-2025,INFY,2797,-1014,-26.607189713985832,3599,0.0,0.2,-0.6000000000000001,-75.00000000000001,46800,69600,10000,0.1,6400,0.2,1504.9,PE,27-Oct-2025 15:30:00
1440,28-Oct-2025,INFY,2152,-166,-7.161345987920622,298,0.0,64.9,3.250000000000007,5.271695052716962,55600,58800,400,63.75,800,66.6,1504.9,CE,27-Oct-2025 15:30:00
1440,25-Nov-2025,INFY,2194,383,21.148536720044174,1726,0.0,13.45,-2.1500000000000004,-13.782051282051286,164000,80800,800,13.4,400,13.6,1504.9,PE,27-Oct-2025 15:30:00
1440,25-Nov-2025,INFY,1012,-121,-10.679611650485437,434,14.03,78.85,3.4499999999999886,4.575596816976112,36800,55200,400,76.65,400,80.4,1504.9,CE,27-Oct-2025 15:30:00
1440,30-Dec-2025,INFY,53,10,23.25581395348837,16,23.88,23.95,-1.0500000000000007,-4.200000000000003,10800,3600,400,22.05,400,24.9,1504.9,PE,27-Oct-2025 15:30:00
1460,28-Oct-2025,INFY,3243,-565,-14.83718487394958,5579,32.29,0.3,-1.0,-76.92307692307692,104800,100400,400,0.15,1600,0.3,1504.9,PE,27-Oct-2025 15:30:00
1460,28-Oct-2025,INFY,4067,-290,-6.655955932981409,1395,40.95,46.4,4.25,10.083036773428233,46000,36000,400,44.3,400,46.2,1504.9,CE,27-Oct-2025 15:30:00
1460,25-Nov-2025,INFY,1980,289,17.090479006505028,1331,24.62,18.7,-2.4499999999999993,-11.583924349881794,130400,84800,800,18.7,800,18.9,1504.9,PE,27-Oct-2025 15:30:00
1460,25-Nov-2025,INFY,1117,134,13.631739572736521,632,16.59,64.2,1.3000000000000043,2.0667726550079557,31600,65600,400,64.15,400,64.6,1504.9,CE,27-Oct-2025 15:30:00
1480,28-Oct-2025,INFY,2120,-493,-18.867202449292,10476,22.59,0.5,-2.7,-84.375,277600,90800,800,0.45,400,0.5,1504.9,PE,27-Oct-2025 15:30:00
1480,28-Oct-2025,INFY,2961,-391,-11.664677804295943,3689,24.22,26.0,2.3500000000000014,9.93657505285413,457600,43600,800,24.75,400,26.0,1504.9,CE,27-Oct-2025 15:30:00
1480,25-Nov-2025,INFY,1035,285,38.0,1158,24.68,25.5,-3.25,-11.304347826086957,67200,68800,400,25.55,400,26.05,1504.9,PE,27-Oct-2025 15:30:00
1480,25-Nov-2025,INFY,1090,-4,-0.3656307129798903,859,17.82,51.6,1.8000000000000043,3.61445783132531,24400,56800,800,51.4,400,51.85,1504.9,CE,27-Oct-2025 15:30:00
1480,30-Dec-2025,INFY,52,1,1.9607843137254901,5,0.0,65.0,-0.5,-0.7633587786259541,7200,8800,400,65.3,400,67.0,1504.9,CE,27-Oct-2025 15:30:00
1480,30-Dec-2025,INFY,28,6,27.272727272727273,10,24.69,39.0,-2.5,-6.024096385542169,2000,2800,400,36.6,400,39.5,1504.9,PE,27-Oct-2025 15:30:00
1500,28-Oct-2025,INFY,2762,-559,-16.832279433905452,16276,0.0,4.3,-5.250000000000001,-54.9738219895288,1011200,121600,400,4.2,1200,4.4,1504.9,PE,27-Oct-2025 15:30:00
1500,28-Oct-2025,INFY,4079,-711,-14.843423799582464,12452,0.0,9.4,-0.9499999999999993,-9.17874396135265,724800,122000,800,9.05,800,9.5,1504.9,CE,27-Oct-2025 15:30:00
1500,25-Nov-2025,INFY,3698,1393,60.433839479392624,4005,0.0,34.8,-2.950000000000003,-7.814569536423849,94400,86000,400,34.65,1200,35.0,1504.9,PE,27-Oct-2025 15:30:00
1500,25-Nov-2025,INFY,4844,1032,27.072402938090242,5473,0.0,40.75,1.5499999999999972,3.954081632653054,262800,247200,1600,40.4,400,40.75,1504.9,CE,27-Oct-2025 15:30:00
1520,28-Oct-2025,INFY,1597,-457,-22.24926971762415,4935,0.0,17.9,-6.400000000000002,-26.33744855967079,857200,46800,400,16.65,400,18.0,1504.9,PE,27-Oct-2025 15:30:00
1520,28-Oct-2025,INFY,4676,-131,-2.7251924277095902,29149,25.49,2.8,-2.0,-41.66666666666667,788800,248800,1200,2.6,400,2.75,1504.9,CE,27-Oct-2025 15:30:00
1520,25-Nov-2025,INFY,1361,384,39.303991811668375,1429,0.0,45.4,-3.5,-7.157464212678937,32000,66400,400,45.05,400,45.65,1504.9,PE,27-Oct-2025 15:30:00
1520,25-Nov-2025,INFY,3477,1271,57.615593834995465,5419,19.31,31.2,0.6499999999999986,2.1276595744680806,169600,241200,2000,31.0,800,31.3,1504.9,CE,27-Oct-2025 15:30:00
1520,30-Dec-2025,INFY,114,19,20.0,30,26.17,60.0,-3.0,-4.761904761904762,1200,2800,400,56.15,400,59.75,1504.9,PE,27-Oct-2025 15:30:00
1520,30-Dec-2025,INFY,179,39,27.857142857142858,93,16.03,46.05,0.04999999999999716,0.10869565217390686,11600,10000,400,46.5,400,47.1,1504.9,CE,27-Oct-2025 15:30:00
1540,28-Oct-2025,INFY,712,-286,-28.65731462925852,927,0.0,34.8,-6.950000000000003,-16.646706586826355,219200,20800,4000,34.8,800,37.65,1504.9,PE,27-Oct-2025 15:30:00
1540,28-Oct-2025,INFY,9097,-2600,-22.22792168932205,22703,32.24,1.1,-1.6999999999999997,-60.71428571428571,733600,381200,3600,1.1,10400,1.15,1504.9,CE,27-Oct-2025 15:30:00
1540,25-Nov-2025,INFY,670,87,14.922813036020584,664,0.0,57.0,-4.799999999999997,-7.766990291262131,31200,36400,400,57.1,400,57.85,1504.9,PE,27-Oct-2025 15:30:00
