Timestamp,Open,High,Low,Close,Volume
2025-04-29,3420.45,3460.05,3396.1,3437.77,1594274
2025-04-30,3437.28,3474.8,3332.34,3419.16,2837709
2025-05-02,3437.28,3456.58,3385.8,3410.25,2136993
2025-05-05,3415.5,3469.46,3411.94,3419.76,1297417
2025-05-06,3425.4,3438.27,3402.63,3425.4,1338144
2025-05-07,3386.39,3424.91,3386.39,3410.65,1492048
2025-05-08,3413.52,3442.23,3394.41,3414.41,2569283
2025-05-09,3365.01,3411.74,3364.12,3405.9,2557330
2025-05-12,3469.95,3594.2,3467.18,3584.2,2251189
2025-05-13,3584.2,3586.77,3475.4,3479.85,3093825
2025-05-14,3485.79,3525.39,3473.51,3513.21,2140908
2025-05-15,3528.36,3564.0,3478.96,3544.1,3584171
2025-05-16,3557.96,3557.96,3510.64,3525.69,1683562
2025-05-19,3514.5,3514.5,3468.66,3483.61,2563007
2025-05-20,3496.48,3522.42,3459.06,3463.32,2058963
2025-05-21,3472.92,3501.63,3463.32,3490.54,1454700
2025-05-22,3460.05,3462.82,3416.79,3442.23,2054932
2025-05-23,3442.23,3499.65,3430.94,3479.45,1287203
2025-05-26,3485.79,3509.55,3475.0,3501.93,977242
2025-05-27,3496.68,3504.6,3448.27,3463.71,2492606
2025-05-28,3484.8,3493.71,3458.07,3462.72,1235285
2025-05-29,3469.65,3497.18,3451.64,3463.12,3220274
2025-05-30,3455.1,3471.63,3418.57,3428.77,3438752
2025-06-02,3415.5,3425.4,3384.41,3415.3,1896550
2025-06-03,3411.54,3438.76,3366.5,3371.15,2876893
2025-06-04,3389.0,3394.8,3370.0,3380.9,2544807
2025-06-05,3409.0,3409.0,3363.7,3371.1,3584683
2025-06-06,3371.1,3390.9,3358.7,3384.2,2070390
2025-06-09,3400.0,3434.0,3390.9,3421.9,1718678
2025-06-10,3440.0,3485.8,3423.2,3462.9,2419874
2025-06-11,3470.0,3489.0,3449.1,3471.9,2847013
2025-06-12,3471.9,3474.7,3423.2,3434.2,4060134
2025-06-13,3393.2,3450.5,3393.2,3445.7,2178493
2025-06-16,3440.0,3509.0,3426.2,3496.3,1934088
2025-06-17,3510.0,3520.0,3488.1,3515.3,2111940
2025-06-18,3519.1,3538.0,3443.1,3451.4,2696327
2025-06-19,3450.0,3451.0,3413.0,3424.0,2672768
2025-06-20,3425.0,3446.3,3410.9,3435.7,2351248
2025-06-23,3415.0,3425.0,3370.0,3393.6,3123421
2025-06-24,3434.6,3442.1,3382.0,3390.4,3403048
2025-06-25,3407.3,3450.0,3400.0,3444.8,1757699
2025-06-26,3444.8,3451.4,3415.3,3441.8,2879106
2025-06-27,3455.0,3466.4,3431.0,3441.1,1778433
2025-06-30,3439.9,3464.9,3430.0,3462.0,1468351
2025-07-01,3455.0,3485.0,3413.5,3429.7,2375183
2025-07-02,3487.2,3489.9,3420.0,3423.3,3090585
2025-07-03,3430.0,3435.3,3397.6,3400.8,2531870
2025-07-04,3408.0,3427.0,3390.1,3419.8,1109320
2025-07-07,3418.3,3426.1,3408.4,3411.7,1639174
2025-07-08,3405.0,3425.0,3393.4,3406.2,2325242
2025-07-09,3410.0,3414.0,3367.0,3383.8,2034938
2025-07-10,3380.0,3399.0,3356.0,3382.0,3035012
2025-07-11,3299.9,3335.0,3261.1,3266.0,7635550
2025-07-14,3266.0,3272.0,3200.0,3222.7,3924009
2025-07-15,3206.0,3259.4,3206.0,3252.3,2590889
2025-07-16,3227.0,3244.9,3220.6,3233.1,2540733
2025-07-17,3224.1,3242.0,3204.1,3209.2,2947640
2025-07-18,3225.0,3228.8,3187.0,3189.9,3432645
